generation,total_organisms,total_energy,avg_speed,avg_size,avg_reproduction_threshold,total_speed,total_size,total_reproduction_threshold,avg_energy
0,5,15,1,1.2,5,5,6,25,3
1,5,17.09795,1,1.2,5,5,6,25,3.41959
2,5,19.321634,1,1.2,5,5,6,25,3.864327
3,5,21.545319,1,1.2,5,5,6,25,4.309064
4,5,23.769005,1,1.2,5,5,6,25,4.753801
5,5,25.992691,1,1.2,5,5,6,25,5.1985383
6,9,28.216373,0.97550786,1.2017828,5.048086,8.779571,10.816046,45.432777,3.1351526
7,9,28.49336,0.97451663,1.1983427,5.0024934,8.77065,10.785084,45.02244,3.1659288
8,9,32.40609,0.97451663,1.1983427,5.0024934,8.77065,10.785084,45.02244,3.6006765
9,9,36.31882,0.97451663,1.1983427,5.0024934,8.77065,10.785084,45.02244,4.0354247
10,9,40.231552,0.97451663,1.1983427,5.0024934,8.77065,10.785084,45.02244,4.4701724
11,10,44.14428,0.9761729,1.1954122,4.9612107,9.761729,11.954122,49.612106,4.4144278
12,14,48.539192,0.9636742,1.1996261,4.9811034,13.491439,16.794765,69.73545,3.4670851
13,14,51.957745,0.9703668,1.2057114,4.928801,13.5851345,16.87996,69.00321,3.7112675
14,17,58.10483,0.9539434,1.2038203,5.00422,16.217037,20.464947,85.07174,3.4179313
15,16,61.7687,0.95162237,1.2059942,5.0301304,15.225958,19.295908,80.482086,3.8605437
16,17,68.703125,0.9539434,1.2038203,5.004221,16.217037,20.464947,85.071754,4.0413604
17,18,76.119736,0.955625,1.2002122,4.960264,17.20125,21.60382,89.28476,4.228874
18,23,84.00722,0.95135844,1.1983869,4.972042,21.881245,27.562899,114.35697,3.6524878
19,25,93.078835,0.94771993,1.2040071,4.953191,23.692999,30.100178,123.82977,3.7231534
20,28,103.93973,0.939995,1.2098589,4.976372,26.31986,33.87605,139.33841,3.7121332
21,30,115.98872,0.93805426,1.2076784,4.9889045,28.141628,36.230354,149.66713,3.8662908
22,35,127.98784,0.9334063,1.2082024,4.9860253,32.66922,42.287083,174.5109,3.6567955
23,36,143.01068,0.9337864,1.2084781,4.9783134,33.61631,43.50521,179.21928,3.972519
24,42,158.62494,0.9295224,1.2012005,5.008001,39.03994,50.45042,210.33603,3.7767842
25,45,176.55359,0.9274663,1.1997268,4.977238,41.73598,53.987705,223.97571,3.923413
26,51,195.73892,0.9215701,1.204102,5.00263,47.000076,61.409206,255.13414,3.8380182
27,60,216.59467,0.9242006,1.2029138,4.978166,55.452034,72.17483,298.68997,3.6099112
28,64,241.17418,0.9195806,1.2057332,5.000677,58.853157,77.16692,320.04333,3.7683465
29,70,268.30872,0.91311777,1.2057819,5.019387,63.918243,84.40474,351.3571,3.8329816
30,81,296.99036,0.91811484,1.2034143,4.9737887,74.3673,97.47656,402.8769,3.6665475
31,83,330.27753,0.91689855,1.205164,4.9738936,76.10258,100.02861,412.83316,3.9792473
32,97,364.53177,0.9164094,1.2072784,4.965459,88.89171,117.106,481.6495,3.7580595
33,108,404.62036,0.91226584,1.209548,4.969337,98.52471,130.63118,536.6884,3.7464848
34,116,441.36783,0.9092231,1.2142792,4.982639,105.46988,140.85638,577.9861,3.8048952
35,126,490.2074,0.90878636,1.212502,4.979091,114.50708,152.77525,627.3655,3.8905349
36,143,-340282350000000000000000000000000000000,0.90704983,1.2088363,4.9605317,129.70813,172.86359,709.356,-2379596800000000000000000000000000000
37,156,-340282350000000000000000000000000000000,0.9069874,1.2062643,4.9504323,141.49004,188.17722,772.26746,-2181297100000000000000000000000000000
38,173,656.3269,0.90822005,1.2058913,4.935903,157.12207,208.61919,853.9112,3.793797
39,195,722.5003,0.90249,1.2101952,4.9348583,175.98555,235.98807,962.29736,3.7051299
40,210,800.90393,0.9007296,1.2139864,4.9194345,189.15321,254.93715,1033.0813,3.8138282
41,235,888.6549,0.90006655,1.213944,4.9104314,211.51564,285.27682,1153.9514,3.7815104
42,261,984.181,0.8999822,1.2117732,4.9045734,234.89536,316.2728,1280.0936,3.7708085
43,291,1091.1791,0.89770937,1.2117574,4.903342,261.23343,352.6214,1426.8724,3.7497563
44,322,1209.0565,0.89721197,1.2108675,4.892832,288.90225,389.89935,1575.4918,3.754834
45,358,1338.2698,0.89274794,1.2136923,4.8881807,319.60376,434.50186,1749.9686,3.7381837
46,400,1482.6935,0.8898728,1.2143534,4.874435,355.94913,485.74136,1949.7739,3.7067337
47,443,1638.0813,0.89075804,1.2114547,4.8594894,394.6058,536.67444,2152.754,3.6977005
48,492,-340282350000000000000000000000000000000,0.88881063,1.2132313,4.8580933,437.29483,596.9098,2390.182,-691630800000000000000000000000000000
49,540,2004.5038,0.88770866,1.211302,4.8545027,479.36267,654.1031,2621.4314,3.712044
50,597,-inf,0.88633424,1.2100921,4.8436623,529.14154,722.425,2891.6665,-inf
51,665,-inf,0.88340414,1.2123992,4.8367124,587.46375,806.2455,3216.4136,-inf
52,739,-inf,0.8820859,1.21235,4.8109474,651.8615,895.92664,3555.2903,-inf
53,813,2971.8298,0.88142145,1.2115897,4.8013306,716.59564,985.0224,3903.482,3.6553872
54,899,3285.1548,0.8791231,1.215122,4.793707,790.33167,1092.3947,4309.5425,3.6542323
55,988,-340282350000000000000000000000000000000,0.8784016,1.215004,4.782311,867.8608,1200.424,4724.9233,-344415320000000000000000000000000000
56,1090,4007.835,0.87765795,1.2146083,4.7740784,956.64716,1323.9231,5203.7456,3.6769128
57,1233,-inf,0.8741478,1.2137579,4.77057,1077.8242,1496.5635,5882.113,-inf
58,1354,-340282350000000000000000000000000000000,0.87305534,1.2151091,4.757823,1182.117,1645.2577,6442.0923,-251316370000000000000000000000000000
59,1491,5378.738,0.8724812,1.2144717,4.7437344,1300.8695,1810.7772,7072.9077,3.60747
60,1640,-340282350000000000000000000000000000000,0.87103367,1.2148236,4.7332163,1428.4952,1992.3108,7762.4746,-207489230000000000000000000000000000
61,1795,-340282350000000000000000000000000000000,0.8712655,1.2161641,4.728746,1563.9215,2183.0146,8488.099,-189572330000000000000000000000000000
62,1986,-340282350000000000000000000000000000000,0.86972773,1.2168603,4.719723,1727.2793,2416.6846,9373.37,-171340550000000000000000000000000000
63,2197,-340282350000000000000000000000000000000,0.8695926,1.2168987,4.707462,1910.495,2673.5264,10342.294,-154885000000000000000000000000000000
64,2440,8686.495,0.8677908,1.2182328,4.697097,2117.4097,2972.488,11460.916,3.560039
65,2696,-inf,0.86758304,1.2162961,4.678679,2339.004,3279.1343,12613.719,-inf
66,2989,10530.22,0.86610967,1.2177508,4.6689687,2588.8018,3639.857,13955.547,3.522991
67,3279,-inf,0.8643481,1.2180685,4.65859,2834.1975,3994.0466,15275.517,-inf
68,3587,-340282350000000000000000000000000000000,0.8630883,1.2196336,4.651999,3095.8977,4374.8257,16686.72,-94865440000000000000000000000000000
69,3916,-inf,0.863847,1.2197689,4.6462173,3382.825,4776.6147,18194.588,-inf
70,4299,-inf,0.8632329,1.2206242,4.6347194,3711.0383,5247.4634,19924.658,-inf
71,4727,-inf,0.8617231,1.2198968,4.6295824,4073.3652,5766.452,21884.035,-inf
72,5153,-inf,0.8601551,1.2214056,4.6230607,4432.3794,6293.9033,23822.633,-inf
73,5540,-inf,0.85777515,1.2242451,4.616678,4752.074,6782.318,25576.396,-inf
74,6011,20738.219,0.85753477,1.2244159,4.6194506,5154.6416,7359.964,27767.518,3.4500446
75,6514,-inf,0.8574715,1.2247698,4.6164193,5585.5693,7978.1504,30071.355,-inf
76,7018,-inf,0.8552031,1.2251309,4.6143384,6001.8154,8597.969,32383.426,-inf
77,7543,-inf,0.8538174,1.2251658,4.605834,6440.3447,9241.426,34741.805,-inf
78,8217,-340282350000000000000000000000000000000,0.8540295,1.2251562,4.597675,7017.56,10067.108,37779.094,-41411994000000000000000000000000000
79,8894,-inf,0.85294104,1.2268958,4.594331,7586.0576,10912.012,40861.977,-inf
80,9548,-inf,0.8523139,1.2272549,4.5918827,8137.893,11717.829,43843.297,-inf
81,10330,-340282350000000000000000000000000000000,0.85135067,1.2277042,4.584544,8794.452,12682.184,47358.344,-32941176000000000000000000000000000
82,11158,-inf,0.8502059,1.2288848,4.5753307,9486.598,13711.896,51051.543,-inf
83,12082,-inf,0.84917104,1.2293646,4.56262,10259.685,14853.184,55125.574,-inf
84,13169,-inf,0.8495399,1.2291521,4.549695,11187.591,16186.703,59914.934,-inf
85,14334,-inf,0.84924823,1.2297544,4.5420547,12173.124,17627.3,65105.813,-inf
86,15513,-inf,0.8489106,1.2307645,4.535126,13169.15,19092.85,70353.414,-inf
87,16807,-inf,0.84861916,1.2308943,4.5258737,14262.742,20687.64,76066.36,-inf
88,18240,-inf,0.8474764,1.2320439,4.5155354,15457.97,22472.48,82363.37,-inf
89,19768,-inf,0.846008,1.2331566,4.505837,16723.887,24377.04,89071.38,-inf
90,21454,-inf,0.8448084,1.2342657,4.496804,18124.52,26479.936,96474.44,-inf
91,23197,-inf,0.84456855,1.2350528,4.4865985,19591.457,28649.52,104075.625,-inf
92,25152,-inf,0.8442876,1.2360673,4.479256,21235.521,31089.564,112662.25,-inf
