generation,total_predators,total_energy,avg_speed,avg_size,avg_reproduction_threshold,total_speed,total_size,total_reproduction_threshold,avg_energy
0,5,75,1.5,1,0,7.5,5,0,15
1,5,74.25,1.5,1,0,7.5,5,0,14.85
2,5,73.5,1.5,1,0,7.5,5,0,14.7
3,5,72.75001,1.5,1,0,7.5,5,0,14.550001
4,5,72.00001,1.5,1,0,7.5,5,0,14.400002
5,5,71.25001,1.5,1,0,7.5,5,0,14.250002
6,5,70.500015,1.5,1,0,7.5,5,0,14.100003
7,5,71.55001,1.5,1,0,7.5,5,0,14.310002
8,5,70.80002,1.5,1,0,7.5,5,0,14.160004
9,5,70.05002,1.5,1,0,7.5,5,0,14.010004
10,5,69.30002,1.5,1,0,7.5,5,0,13.860003
11,5,68.55002,1.5,1,0,7.5,5,0,13.710004
12,5,67.800026,1.5,1,0,7.5,5,0,13.560005
13,5,68.63055,1.5,1,0,7.5,5,0,13.7261095
14,5,67.88055,1.5,1,0,7.5,5,0,13.576109
15,5,68.8841,1.5,1,0,7.5,5,0,13.77682
16,5,68.13411,1.5,1,0,7.5,5,0,13.6268215
17,5,67.38411,1.5,1,0,7.5,5,0,13.476822
18,5,66.63412,1.5,1,0,7.5,5,0,13.326823
19,5,65.88411,1.5,1,0,7.5,5,0,13.176822
20,5,65.13412,1.5,1,0,7.5,5,0,13.026823
21,5,64.38412,1.5,1,0,7.5,5,0,12.876823
22,5,63.63412,1.5,1,0,7.5,5,0,12.726824
23,5,62.88412,1.5,1,0,7.5,5,0,12.576824
24,5,62.13412,1.5,1,0,7.5,5,0,12.426825
25,5,61.384125,1.5,1,0,7.5,5,0,12.276825
26,5,60.63413,1.5,1,0,7.5,5,0,12.126825
27,5,59.88413,1.5,1,0,7.5,5,0,11.976826
28,5,59.13413,1.5,1,0,7.5,5,0,11.826826
29,5,58.384132,1.5,1,0,7.5,5,0,11.6768265
30,5,57.634136,1.5,1,0,7.5,5,0,11.526827
31,5,56.884136,1.5,1,0,7.5,5,0,11.376827
32,5,56.134136,1.5,1,0,7.5,5,0,11.226828
33,5,55.38414,1.5,1,0,7.5,5,0,11.076828
34,5,58.36242,1.5,1,0,7.5,5,0,11.672483
35,5,57.612423,1.5,1,0,7.5,5,0,11.522485
36,5,58.55222,1.5,1,0,7.5,5,0,11.7104435
37,5,57.802223,1.5,1,0,7.5,5,0,11.560445
38,5,57.052227,1.5,1,0,7.5,5,0,11.410445
39,5,58.05579,1.5,1,0,7.5,5,0,11.611158
40,5,57.305786,1.5,1,0,7.5,5,0,11.461157
41,5,56.555786,1.5,1,0,7.5,5,0,11.311157
42,5,55.80579,1.5,1,0,7.5,5,0,11.161158
43,5,55.055798,1.5,1,0,7.5,5,0,11.01116
44,5,54.305794,1.5,1,0,7.5,5,0,10.861158
45,5,53.555794,1.5,1,0,7.5,5,0,10.711159
46,5,52.805798,1.5,1,0,7.5,5,0,10.561159
47,5,55.516747,1.5,1,0,7.5,5,0,11.10335
48,5,54.766747,1.5,1,0,7.5,5,0,10.953349
49,5,57.841305,1.5,1,0,7.5,5,0,11.568261
50,5,58.76895,1.5,1,0,7.5,5,0,11.75379
51,5,58.01896,1.5,1,0,7.5,5,0,11.603792
52,5,57.268963,1.5,1,0,7.5,5,0,11.453793
53,5,56.518963,1.5,1,0,7.5,5,0,11.303793
54,5,57.521935,1.5,1,0,7.5,5,0,11.504387
55,5,59.753277,1.5,1,0,7.5,5,0,11.950655
56,5,60.986477,1.5,1,0,7.5,5,0,12.197295
57,5,60.23648,1.5,1,0,7.5,5,0,12.047297
58,5,59.48648,1.5,1,0,7.5,5,0,11.897296
59,5,60.247967,1.5,1,0,7.5,5,0,12.049593
60,5,59.497967,1.5,1,0,7.5,5,0,11.899593
61,5,58.747967,1.5,1,0,7.5,5,0,11.749594
62,5,57.99797,1.5,1,0,7.5,5,0,11.599594
63,5,58.92484,1.5,1,0,7.5,5,0,11.784967
64,5,60.19429,1.5,1,0,7.5,5,0,12.038858
65,5,59.444294,1.5,1,0,7.5,5,0,11.888859
66,5,60.461525,1.5,1,0,7.5,5,0,12.092305
67,5,59.71153,1.5,1,0,7.5,5,0,11.942306
68,5,58.96153,1.5,1,0,7.5,5,0,11.792306
69,5,58.211525,1.5,1,0,7.5,5,0,11.642305
